Perusahaan,Tahun,TOBINQ,PDEBT,SIZE,LEV,LIQ,INTCOV,PROF,DR,GROWTH,FIRMAGE,y1,y2,y3,y4,y5,i1,i2,i3,i4,i5,i6,i7,i8,LogTobinsQ,LnTobinQ,Total Assets,LogAssets,MarkCap,LogMarkCap,LogAge,InterestExp,TotalDebt,AveInterestRate,FreeCashFlow
6,2013,0.246444713,0,9.833886802,0.183305454,2.635410819,3.517,0.031603315,0,0.005728022,28,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.608280494,-1.400617598,6821608673,9.833886802,641714627,8.807341939,1.447158031,61298109.47,1250438078,0.049021307,6821608673
7,2009,1.717389971,1,10.62765073,0.373712098,1.980591234,10.367,0.22377284,0,-0.083476328,44,1,0,0,0,0,0,1,0,0,0,0,0,0,0.234868923,0.54080568,42427821000,10.62765073,55335676200,10.74300522,1.643452676,915809202.3,15855790000,0.057758661,42427821000
7,2010,1.959280455,1,10.60806184,0.352984721,1.760634404,5.817,0.150361859,1,0.416694309,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0.292096606,0.672577291,40556628000,10.60806184,81564203100,10.9114996,1.653212514,1048335912,14315870000,0.073228935,40556628000
7,2011,1.246792731,1,10.71091833,0.372264597,1.665199352,9.372,0.191563379,1,-0.005364081,46,0,0,1,0,0,0,1,0,0,0,0,0,0,0.095794262,0.220574439,51394699486,10.71091833,56615152740,10.75293268,1.662757832,1050506007,19132427081,0.054907096,51394699486
7,2012,0.951851411,1,10.80799764,0.365875633,1.572329667,7.031,0.120998215,1,-0.010180224,47,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.021430842,-0.049346337,64268423108,10.80799764,50857679580,10.70635654,1.672097858,1106011163,23514250011,0.047035783,64268423108
7,2013,0.734837272,1,10.91282648,0.330224132,1.771896355,4.596,0.068656451,1,0.145555915,48,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.133808824,-0.308106203,81813783444,10.91282648,34864698580,10.54238591,1.681241237,1222159274,27016885641,0.045236867,81813783444
8,2009,0.957164954,0,8.261167154,0.886731445,1.130265679,368.237,0.005885483,0,0.034717756,13,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.019013211,-0.043779537,182459783,8.261167154,14850000,7.171726454,1.113943352,2916.23058,161792827,1.80E-05,182459783
8,2010,1.039350373,0,8.164527282,0.855493468,1.173103048,21.32267539,0.004374065,0,0.015316711,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0.016761976,0.038595877,146058650,8.164527282,28050000,7.447932866,1.146128036,29962,124952221,0.000239788,146058650
8,2011,1.09292556,0,8.212499912,0.867388189,1.157918699,22.03469807,0.004737972,0,0.07896483,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0.038590583,0.088858101,163117258,8.212499912,26400000,7.421603927,1.176091259,35074,141485983,0.000247897,163117258
8,2012,5.106948062,0,7.658955766,0.513966092,1.997382846,23.63327651,0.015201283,0,-0.59440578,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0.708161441,1.630601978,45599047,7.658955766,125400000,8.098297536,1.204119983,29330,23436364,0.001251474,45599047
8,2013,1.867268265,0,7.391795059,0.019470838,51.39945443,60.22479193,0.099518844,0,-0.734812836,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0.271206716,0.624476542,24648759,7.391795059,41250000,7.615423953,1.230448921,40731,479932,0.084868273,24648759
9,2009,1.2067813,1,9.129292789,0.607947323,1.172627671,1.875,0.083437533,0,0.322633038,52,1,0,0,0,0,0,0,0,0,1,0,0,0,0.081628572,0.187956733,1346768000,9.129292789,1304160005,9.115330877,1.716003344,59931200,818764000,0.073197161,1346768000
9,2010,0.850488157,1,9.28564011,0.531179547,1.285002335,2.08,0.093968611,0,1.485468364,53,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.070331729,-0.161944792,1930368000,9.28564011,1448370000,9.160879521,1.72427587,87208653.85,1025372000,0.085050746,1930368000
9,2011,1.22232057,1,9.554614766,0.446596619,1.893521423,2.38,0.084516696,0,0.567560398,54,0,0,1,0,0,0,0,0,0,1,0,0,0,0.08718512,0.200751158,3586037000,9.554614766,3160080000,9.499698077,1.73239376,127344537.8,1601512000,0.079515194,3586037000
9,2012,1.259471874,1,9.586766723,0.403985141,1.269469029,3.416,0.118794954,0,0.476452556,55,0,0,0,1,0,0,0,0,0,1,0,0,0,0.100188474,0.230692486,3861595000,9.586766723,4184180000,9.621610359,1.740362689,134290983.6,1560027000,0.086082474,3861595000
9,2013,1.33767914,1,9.699846048,0.424322209,1.750259085,4.46,0.115673632,0,0.267022371,56,0,0,0,0,1,0,0,0,0,1,0,0,0,0.126351955,0.290936127,5010096000,9.699846048,6742967000,9.828851034,1.748188027,129940807.2,2125895000,0.061122872,5010096000
10,2009,0.78625031,0,9.200750902,0.295832979,1.500315216,6.333,0.110948219,0,-0.206911698,30,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.10443917,-0.240480077,1587635868,9.200750902,587758080,8.769198608,1.477121255,27813891.05,469675048,0.059219435,1587635868
10,2010,0.713952062,0,9.113240691,0.333396613,1.791236813,6.068,0.074992407,0,0.369454496,31,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.146330948,-0.336939459,1297898382,9.113240691,624492960,8.795527547,1.491361694,16040297.3,432714925,0.037068972,1297898382
10,2011,0.584420436,0,9.182913585,0.304112422,1.396734925,3.094,0.065573398,0,0.002408278,32,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.233274606,-0.537134631,1523749531,9.182913585,489798400,8.690017362,1.505149978,32293934.71,463391160,0.069690442,1523749531
10,2012,0.592977032,0,9.234222195,0.298796126,1.404431291,2.651,0.054344821,0,0.102174264,33,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.226962128,-0.522599612,1714834430,9.234222195,495920880,8.695412394,1.51851394,35153666.92,512385885,0.068607797,1714834430
10,2013,0.509702793,0,9.319015898,0.355075907,1.359135954,2.638,0.051307253,0,0.169532495,34,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.292682987,-0.673927482,2084567189,9.319015898,508165840,8.706005467,1.531478917,40543372.25,740179585,0.054775048,2084567189
11,2009,1.176608558,0,9.777470493,0.376714003,0.958663197,4.915,0.098128323,0,0.36107283,33,1,0,0,0,0,0,0,0,0,0,0,0,1,0.070632003,0.162636197,5990602357,9.777470493,6561779280,9.817021618,1.51851394,119602799.8,2256743795,0.052997952,5990602357
11,2010,1.531232945,0,9.879660442,0.310921,1.047853517,5.026,0.069189203,0,0.542103616,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0.185041265,0.426073257,7579847044,9.879660442,11561507650,10.06301447,1.531478917,104346115.2,2356733623,0.044275736,7579847044
11,2011,1.622903634,0,9.914849602,0.124651551,1.357343075,19.22,0.094966528,0,0.152505159,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0.210292733,0.484216911,8219579540,9.914849602,15983490525,10.20367163,1.544068044,40613159.63,1024583337,0.039638708,8219579540
11,2012,1.522644258,1,10.06883264,0.258826304,1.441860187,12.057,0.07381619,1,0.03063467,36,0,0,0,1,0,0,0,0,0,0,0,0,1,0.182598449,0.420448467,11717437254,10.06883264,16978182813,10.22989121,1.556302501,71737296.01,3032780973,0.023653965,11717437254
11,2013,1.379862661,1,10.16226583,0.354153244,1.171389759,7.594,0.058101609,1,0.005837561,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0.139835863,0.321983973,14530007171,10.16226583,16124187217,10.20747783,1.568201724,111168921.6,5145849171,0.021603611,14530007171
12,2009,0.626665887,0,9.167723373,0.280028545,0.969689805,1.103,0.036607935,0,0.721050369,33,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.202963946,-0.467341757,1471375000,9.167723373,258720000,8.412830003,1.51851394,48834088.85,412027000,0.118521575,1471375000
12,2010,0.491592863,0,9.177292303,0.454662222,0.864840337,2.218,0.072620889,0,0.195688536,34,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.308394431,-0.71010442,1504154000,9.177292303,280280000,8.447592109,1.531478917,49248422,683882000,0.07201304,1504154000
12,2011,0.441930669,0,9.253222428,0.335144983,1.213485392,2.268,0.045234195,0,-0.10754754,35,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.354645858,-0.816602266,1791523165,9.253222428,200200000,8.301464073,1.544068044,35731088.62,600420001,0.059510157,1791523165
12,2012,0.521333021,0,9.274520037,0.335530079,1.292043562,1.081,0.018562913,0,-0.108740308,36,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.282884766,-0.651366245,1881568514,9.274520037,184800000,8.266701967,1.556302501,32310260.87,631322833,0.051178667,1881568514
12,2013,0.791702124,0,9.439660775,0.454183768,1.059095183,1.488,0.025431738,0,0.161868119,37,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.10143819,-0.233570065,2752078230,9.439660775,165088000,8.217715506,1.568201724,47036379.7,1249949259,0.037630631,2752078230
13,2009,1.301507553,0,9.289427734,0.227540817,3.344427577,3.986263259,0.0470914,0,0.268259865,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0.114446693,0.263523249,1947277000,9.289427734,2517200000,9.400917723,1.591064607,23004000,443085000,0.051917804,1947277000
13,2010,1.277010387,0,9.369416069,0.226276858,3.939531201,23.81001193,0.187524214,0,0.07012503,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0.10619443,0.244521711,2341079000,9.369416069,2842700000,9.45373103,1.602059991,18438000,529732000,0.034806279,2341079000
13,2011,1.387709555,0,9.423761149,0.205565393,4.42294646,21.76816609,0.168351459,0,0.100543818,41,0,0,1,0,0,0,0,1,0,0,0,0,0,0.142298579,0.327654586,2653146000,9.423761149,3602200000,9.556567822,1.612783857,20519000,545395000,0.037622274,2653146000
13,2012,1.093839086,0,9.487165253,0.21442712,3.887013118,22.25371845,0.151069478,0,0.125702146,42,0,0,0,1,0,0,0,1,0,0,0,0,0,0.038953438,0.089693606,3070190000,9.487165253,3038000000,9.48258777,1.62324929,20842000,658332000,0.031658798,3070190000
13,2013,1.093445944,0,9.542730718,0.223162128,4.177812474,17.9561407,0.129183756,0,0.141678481,43,0,0,0,0,1,0,0,1,0,0,0,0,0,0.038797318,0.089334126,3489239000,9.542730718,3493700000,9.54328561,1.633468456,25103000,778666000,0.032238469,3489239000
14,2009,2.534527622,0,9.456438764,0.129174869,0.825606704,6.115,0.088892804,0,0.332392841,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0.403897029,0.930007277,2860479000,9.456438764,9952153300,9.997917057,1.322219295,41582338.51,369502000,0.112536166,2860479000
14,2010,2.90264198,0,9.629708099,0.199946563,0.780063801,5.66,0.08269502,0,0.296047934,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0.462793472,1.06562135,4262929000,9.629708099,13555519150,10.13211615,1.342422681,62283215.55,852358000,0.073071662,4262929000
14,2011,2.775103084,0,9.700265049,0.199610483,0.833001204,5.553,0.099707833,0,0.281959433,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0.44327912,1.020687894,5014932000,9.700265049,19818512175,10.29707105,1.361727836,90046461.37,1001033000,0.089953539,5014932000
14,2012,1.876389745,0,9.875283913,0.133989157,1.000539652,12.755,0.082145876,0,0.493484749,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0.273323051,0.629349582,7503846000,9.875283913,16987296150,10.23012426,1.380211242,48326930.62,1005434000,0.048065741,7503846000
14,2013,1.735117359,0,10.03891989,0.323272058,0.820684434,3.315,0.087331198,0,0.197037166,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0.239328855,0.551075053,10937546000,10.03891989,19307126450,10.28571764,1.397940009,288141478.1,3535803000,0.081492515,10937546000
15,2009,2.027891912,0,9.981884599,0.049981977,7.275791577,17.664,0.086646627,1,0.003780113,41,1,0,0,0,0,0,1,0,0,0,0,0,0,0.307044803,0.706996786,9591457332,9.981884599,23369226388,10.36864434,1.612783857,47048654.04,479400000,0.098140705,9591457332
15,2010,1.244622913,0,10.0756557,0.064583029,3.81849376,180.632,0.191991857,1,0.182241324,42,0,1,0,0,0,0,1,0,0,0,0,0,0,0.095037792,0.218832603,11902980010,10.0756557,15452304795,10.18899327,1.62324929,12651552.55,768730500,0.016457722,11902980010
15,2011,0.85709264,1,10.17101838,0.202365753,10.42255562,100.942,0.173351572,1,0.010835154,43,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.066972234,-0.154209268,14825808242,10.17101838,12204264640,10.08651162,1.633468456,25460929.62,3000235852,0.008486309,14825808242
15,2012,0.801516362,1,10.29385578,0.236715435,2.514248607,17.612,0.209939343,1,0.081190937,44,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.096087608,-0.221249893,19672329246,10.29385578,10392694106,10.01672814,1.643452676,234498971.2,4656743970,0.050356853,19672329246
