Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE
13,2012,0.57222,0.60000,0.75000,0.00000,0.75000,0.66700,1.00000,0.66670,0.50000,2.47059,1.83333,2.83333,3.00000,2.75000,200.00000,0.00000,1007781624416.60000,79109484914.77060,0.32000
13,2013,0.47619,0.00000,0.50000,0.50000,0.00000,1.00000,1.00000,0.33333,0.40000,2.52941,2.00000,2.66667,3.00000,3.00000,75.00000,0.00000,1293752457980.87000,104603987365.54100,0.24000
13,2014,0.76429,0.60000,0.50000,1.00000,0.75000,1.00000,1.00000,0.50000,0.50000,2.29412,2.16667,2.50000,1.00000,2.50000,100.00000,0.00000,99568691.00000,2649485.00000,0.11100
14,2011,0.21429,0.00000,0.00000,0.00000,0.00000,0.66700,0.50000,0.33300,0.10000,1.83333,1.83333,2.00000,1.00000,2.50000,0.00000,1.00000,423309608000.00000,26845225000.00000,0.03560
14,2012,0.42500,0.80000,0.25000,0.00000,0.00000,1.00000,1.00000,0.50000,0.60000,2.00000,1.50000,2.33333,1.00000,2.50000,0.00000,0.00000,1292581000000.00000,45889088000.00000,0.03770
14,2013,0.75714,0.80000,0.75000,0.75000,1.00000,0.66670,1.00000,0.33330,0.40000,2.05882,1.83333,2.16667,1.00000,2.50000,0.00000,0.00000,1815818000000.00000,80699000000.00000,0.22200
14,2014,0.74524,0.80000,0.50000,0.75000,1.00000,0.66670,1.00000,0.50000,0.50000,2.17647,1.83333,2.50000,1.00000,2.50000,26.00000,0.00000,2031097000000.00000,223907162000.00000,0.26700
15,2011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.95833,1.83333,2.50000,1.00000,2.50000,0.00000,1.00000,453977000000.00000,13459385000.00000,0.03400
15,2012,0.02778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16670,0.00000,1.82353,1.33333,2.00000,1.00000,2.50000,0.00000,1.00000,369277000000.00000,20246939000.00000,-0.05000
15,2013,0.02381,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16670,0.00000,1.94118,1.66667,2.00000,1.00000,2.50000,0.00000,0.00000,361548802000.00000,1853429000.00000,0.00190
