,Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE,BRD_INDP_DIV,BRD_MEET_DIV,BRD_SIZE_DIV,BRD_COMPT_DIV,BRD_EFFC_DIV
80,21,2011,0.2619,0,0,0,0,0.3333,1,0.5,0.4,2.375,2,2,3,2.5,0,0,11.8168806013,11.2747680844,0.5636,0,0,0,0,0
81,21,2012,0.22222,0,0,0,0,1,1,0.3333,0.3,2.11765,1.83333,2.33333,1,2.5,0,1,13.3036260549,12.0061130392,0.02,0,0,0,0,0
82,21,2013,0.35714,0,0,0,0,1,1,0.83333,0.4,2.23529,2.16667,2.33333,1,2.5,0,0,12.1590891083,11.6412275564,0.1389,0,0,0,0,0
83,21,2014,0.45238,0,0.5,0,0,1,1,0.6667,0.6,2.05882,2,2,1,2.5,0,0,13.4398105496,12.2796042132,0.041,0,0,0,0,0
84,22,2011,0.7,0.4,1,1,0.5,0.3333,1,0.6667,0.7,2.5625,2,2.5,3,2.75,68,0,13.3714704578,12.9369047593,0.10431,136,170,204,187,174.25
85,22,2012,0.50278,0.6,0.75,0,0,1,1,0.6667,0.7,2.29412,2,2.33333,3,2.5,72.5,0,13.0458401063,12.909015541,0.15,145,169.166425,217.5,181.25,166.3237
86,22,2013,0.69524,0.2,0.75,1,0.25,1,1,0.1667,0.5,2.70588,2.5,3,3,2.5,10.7514,0,13.5103815124,12.8000226426,0.015,26.8785,32.2542,32.2542,26.8785,29.091998232
87,22,2014,0.57381,0.6,0.75,0,0,1,1,0.6667,0.4,2.70588,2.5,3,3,2.5,10.7514,0,13.5103815124,12.8000226426,0.015,26.8785,32.2542,32.2542,26.8785,29.091998232
88,23,2011,0.62619,0.8,0.75,0,0,1,1,0.8333,0.7,2.66667,2.5,2.66667,3,2.5,70.71,0,13.1818788751,12.7512543527,0.1894,176.775,188.5602357,212.13,176.775,188.5602357
89,23,2012,0.93889,0.8,1,1,1,1,1,0.8333,0.7,2.47059,2.16667,2.66667,3,2.5,90.99,0,13.294654474,12.587550995,0.2536,197.1453033,242.6403033,272.97,227.475,224.7989841
